Krstovic;Attaccante;Atalanta;32
Scamacca;Attaccante;Atalanta;26
Raspadori;Attaccante;Atalanta;22
Sulemana K.;Attaccante;Atalanta;7
Camara;Attaccante;Atalanta;1
Castro;Attaccante;Bologna;32
Orsolini;Attaccante;Bologna;27
Dallinga;Attaccante;Bologna;14
Esposito S.;Attaccante;Cagliari;26
Kilicsoy;Attaccante;Cagliari;16
Borrelli;Attaccante;Cagliari;12
Albarracin;Attaccante;Cagliari;4
Pavoletti;Attaccante;Cagliari;2
Belotti;Attaccante;Cagliari;1
Trepy;Attaccante;Cagliari;1
Douvikas;Attaccante;Como;27
Morata;Attaccante;Como;11
Diao;Attaccante;Como;10
Vardy;Attaccante;Cremonese;23
Bonazzoli;Attaccante;Cremonese;17
Djuric;Attaccante;Cremonese;6
Moumbagna;Attaccante;Cremonese;6
Sanabria;Attaccante;Cremonese;3
Okereke;Attaccante;Cremonese;1
Kean;Attaccante;Fiorentina;27
Gudmundsson;Attaccante;Fiorentina;27
Piccoli;Attaccante;Fiorentina;24
Braschi;Attaccante;Fiorentina;1
Vitinha;Attaccante;Genoa;24
Colombo;Attaccante;Genoa;23
Ekuban;Attaccante;Genoa;11
Ekhator;Attaccante;Genoa;9
Nuredini;Attaccante;Genoa;1
Martinez L.;Attaccante;Inter;55
Thuram;Attaccante;Inter;35
Esposito Pio;Attaccante;Inter;26
Bonny;Attaccante;Inter;25
Lavelli;Attaccante;Inter;1
Mosconi;Attaccante;Inter;1
David;Attaccante;Juventus;28
Openda;Attaccante;Juventus;21
Vlahovic;Attaccante;Juventus;13
Milik;Attaccante;Juventus;1
Elimoghale;Attaccante;Juventus;1
Anghele;Attaccante;Juventus;1
Oboavwoduo;Attaccante;Juventus;1
Pedro;Attaccante;Lazio;20
Ratkov;Attaccante;Lazio;16
Dia;Attaccante;Lazio;10
Cancellieri;Attaccante;Lazio;6
Noslin;Attaccante;Lazio;4
Fernandes S.;Attaccante;Lazio;1
Serra;Attaccante;Lazio;1
Stulic;Attaccante;Lecce;13
Banda;Attaccante;Lecce;12
Pierotti;Attaccante;Lecce;10
Cheddira;Attaccante;Lecce;4
Camarda;Attaccante;Lecce;2
NDri;Attaccante;Lecce;1
Leao;Attaccante;Milan;33
Nkunku;Attaccante;Milan;32
Fullkrug;Attaccante;Milan;22
Gimenez;Attaccante;Milan;10
Balentien;Attaccante;Milan;1
Castiello;Attaccante;Milan;1
Hojlund;Attaccante;Napoli;31
Giovane;Attaccante;Napoli;16
Lukaku;Attaccante;Napoli;10
Pellegrino;Attaccante;Parma;24
Elphege;Attaccante;Parma;7
Frigan;Attaccante;Parma;6
Almqvist;Attaccante;Parma;1
Cardinali;Attaccante;Parma;1
Mikolajewski;Attaccante;Parma;1
Moreo;Attaccante;Pisa;20
Durosinmi;Attaccante;Pisa;13
Meister;Attaccante;Pisa;10
Stojilkovic;Attaccante;Pisa;8
Soule;Attaccante;Roma;31
Malen;Attaccante;Roma;29
Dybala;Attaccante;Roma;26
Dovbyk;Attaccante;Roma;21
Ferguson E.;Attaccante;Roma;19
Vaz;Attaccante;Roma;14
Arena A.;Attaccante;Roma;1
Berardi;Attaccante;Sassuolo;23
Lauriente;Attaccante;Sassuolo;23
Pinamonti;Attaccante;Sassuolo;20
Moro L.;Attaccante;Sassuolo;2
Nzola;Attaccante;Sassuolo;1
Adams;Attaccante;Torino;26
Simeone;Attaccante;Torino;20
Zapata;Attaccante;Torino;15
Kulenovic;Attaccante;Torino;12
Gabellini;Attaccante;Torino;1
Davis;Attaccante;Udinese;25
Buksa;Attaccante;Udinese;9
Gueye;Attaccante;Udinese;2
Bayo;Attaccante;Udinese;1
Orban;Attaccante;Verona;27
Sarr;Attaccante;Verona;10
Bowie;Attaccante;Verona;9
Mosquera;Attaccante;Verona;5
Ajayi;Attaccante;Verona;1
Vermesan;Attaccante;Verona;1
Isaac;Attaccante;Verona;1
De Ketelaere;Centrocampista;Atalanta;27
De Roon;Centrocampista;Atalanta;19
Pasalic;Centrocampista;Atalanta;19
Ederson;Centrocampista;Atalanta;18
Zalewski;Centrocampista;Atalanta;12
Samardzic;Centrocampista;Atalanta;11
Musah;Centrocampista;Atalanta;5
Odgaard;Centrocampista;Bologna;18
Cambiaghi;Centrocampista;Bologna;16
Ferguson;Centrocampista;Bologna;14
Bernardeschi;Centrocampista;Bologna;12
Rowe;Centrocampista;Bologna;12
Freuler;Centrocampista;Bologna;9
Dominguez B.;Centrocampista;Bologna;8
Pobega;Centrocampista;Bologna;8
Moro;Centrocampista;Bologna;7
Sohm;Centrocampista;Bologna;4
Pyyhtia;Centrocampista;Bologna;1
Gaetano;Centrocampista;Cagliari;18
Mazzitelli;Centrocampista;Cagliari;13
Adopo;Centrocampista;Cagliari;12
Sulemana I.;Centrocampista;Cagliari;6
Deiola;Centrocampista;Cagliari;3
Folorunsho;Centrocampista;Cagliari;3
Liteta;Centrocampista;Cagliari;1
Paz;Centrocampista;Como;35
Caqueret;Centrocampista;Como;21
Baturina;Centrocampista;Como;20
Perrone;Centrocampista;Como;19
Da Cunha;Centrocampista;Como;18
Rodriguez J.;Centrocampista;Como;17
Kuhn;Centrocampista;Como;10
Sergi Roberto;Centrocampista;Como;5
Addai;Centrocampista;Como;3
Lahdo;Centrocampista;Como;3
Bonsignori;Centrocampista;Como;1
Thorsby;Centrocampista;Cremonese;16
Vandeputte;Centrocampista;Cremonese;16
Payero;Centrocampista;Cremonese;8
Grassi;Centrocampista;Cremonese;7
Zerbin;Centrocampista;Cremonese;6
Bondo;Centrocampista;Cremonese;4
Maleh;Centrocampista;Cremonese;3
Collocolo;Centrocampista;Cremonese;2
Lickunas;Centrocampista;Cremonese;1
Mandragora;Centrocampista;Fiorentina;22
Fagioli;Centrocampista;Fiorentina;18
Solomon;Centrocampista;Fiorentina;18
Harrison;Centrocampista;Fiorentina;13
Fabbian;Centrocampista;Fiorentina;11
NDour;Centrocampista;Fiorentina;10
Brescianini;Centrocampista;Fiorentina;8
Fazzini;Centrocampista;Fiorentina;2
Sabiri;Centrocampista;Fiorentina;1
Malinovskyi;Centrocampista;Genoa;25
Frendrup;Centrocampista;Genoa;20
Ellertsson;Centrocampista;Genoa;13
Messias;Centrocampista;Genoa;6
Amorim;Centrocampista;Genoa;6
Baldanzi;Centrocampista;Genoa;2
Cornet;Centrocampista;Genoa;2
Masini;Centrocampista;Genoa;1
Cuenca;Centrocampista;Genoa;1
Onana;Centrocampista;Genoa;1
Calhanoglu;Centrocampista;Inter;24
Zielinski;Centrocampista;Inter;22
Barella;Centrocampista;Inter;21
Mkhitaryan;Centrocampista;Inter;17
Sucic;Centrocampista;Inter;14
Luis Henrique;Centrocampista;Inter;13
Frattesi;Centrocampista;Inter;9
Diouf;Centrocampista;Inter;4
Yildiz;Centrocampista;Juventus;44
Mckennie;Centrocampista;Juventus;26
Thuram K.;Centrocampista;Juventus;24
Locatelli;Centrocampista;Juventus;19
Conceicao;Centrocampista;Juventus;17
Boga;Centrocampista;Juventus;14
Zhegrova;Centrocampista;Juventus;13
Miretti;Centrocampista;Juventus;12
Kostic;Centrocampista;Juventus;11
Koopmeiners;Centrocampista;Juventus;9
Adzic;Centrocampista;Juventus;1
Licina;Centrocampista;Juventus;1
Zaccagni;Centrocampista;Lazio;22
Isaksen;Centrocampista;Lazio;21
Cataldi;Centrocampista;Lazio;21
Taylor;Centrocampista;Lazio;16
Basic;Centrocampista;Lazio;9
Przyborek;Centrocampista;Lazio;7
Rovella;Centrocampista;Lazio;6
Maldini;Centrocampista;Lazio;5
Dele Bashiru;Centrocampista;Lazio;4
Belahyane;Centrocampista;Lazio;1
Munoz;Centrocampista;Lazio;1
Farcomeni;Centrocampista;Lazio;1
Coulibaly L.;Centrocampista;Lecce;15
Gandelman;Centrocampista;Lecce;11
Ramadani;Centrocampista;Lecce;10
Sottil;Centrocampista;Lecce;9
Berisha;Centrocampista;Lecce;7
Helgason;Centrocampista;Lecce;1
Marchwinski;Centrocampista;Lecce;1
Kovac;Centrocampista;Lecce;1
Gorter;Centrocampista;Lecce;1
Sala A.;Centrocampista;Lecce;1
Fofana S.;Centrocampista;Lecce;1
Ngom;Centrocampista;Lecce;1
Pulisic;Centrocampista;Milan;30
Modric;Centrocampista;Milan;27
Rabiot;Centrocampista;Milan;25
Saelemaekers;Centrocampista;Milan;20
Ricci;Centrocampista;Milan;18
Loftus Cheek;Centrocampista;Milan;18
Fofana;Centrocampista;Milan;16
Jashari;Centrocampista;Milan;8
Sala E.;Centrocampista;Milan;1
Mctominay;Centrocampista;Napoli;42
Lobotka;Centrocampista;Napoli;20
Neres;Centrocampista;Napoli;17
Politano;Centrocampista;Napoli;16
Elmas;Centrocampista;Napoli;11
De Bruyne;Centrocampista;Napoli;10
Santos;Centrocampista;Napoli;10
Anguissa;Centrocampista;Napoli;8
Vergara;Centrocampista;Napoli;7
Gilmour;Centrocampista;Napoli;2
Prisco;Centrocampista;Napoli;1
De Chiara;Centrocampista;Napoli;1
Bernabe;Centrocampista;Parma;18
Keita;Centrocampista;Parma;13
Strefezza;Centrocampista;Parma;11
